genre_type_id,genre_name
1,Romance
2,Kids
3,Comedy
4,Crime
5,Musical
6,War & Politics
7,Sci-Fi & Fantasy
8,Soap
9,Western
10,History
11,Family
12,Drama
13,News
14,Music
15,Animation
16,Action & Adventure
17,Documentary
18,Reality
19,Mystery
20,Talk
