vote_count,vote_average,show_id
1192,7.715,79788
1191,8.631,57706
1187,7.679,58450
1185,7.611,115857
1173,8.0,4589
1172,7.601,47665
1172,8.57,96462
1171,8.115,2490
1167,8.135,80623
1165,8.581,83095
1161,7.584,4616
1160,7.939,80968
1160,7.8,54671
1154,8.1,45815
1152,8.5,74016
1152,7.775,82596
1150,7.967,4327
1146,8.63,65844
1144,8.627,60863
1144,8.519,42444
1144,8.246,79525
1132,7.638,120168
1127,7.7,54650
1123,7.518,2384
1123,8.318,67070
1122,8.1,253
1120,8.199,4336
1115,8.393,42671
1114,7.8,56296
1113,7.342,76719
1110,8.5,107113
1104,7.903,86423
1101,8.0,72750
1100,8.275,115004
1098,8.089,87689
1092,7.5,62017
1090,8.263,1891
1090,7.899,65708
1082,8.266,71024
1082,8.179,900
1082,7.445,79680
1080,7.662,31268
1077,7.716,13027
1074,7.927,10283
1059,8.433,96648
1059,8.322,604
1058,8.6,82739
1053,7.563,17610
1052,7.077,34967
1051,7.469,5451
1051,7.667,1431
1051,8.458,61175
1050,7.812,90027
1048,8.144,18011
1047,6.9,62823
1047,8.423,61459
1044,8.67,124834
1043,7.53,94305
1035,7.786,80986
1034,8.557,90937
1032,8.265,61852
1031,8.001,63407
1031,8.543,105009
1025,7.971,41727
1023,8.105,1104
1023,7.575,31072
1023,8.586,83100
1019,7.599,69061
1019,7.78,70828
1018,7.682,7842
1018,8.19,4574
1017,7.931,66203
1014,7.838,73481
1009,7.48,64230
1007,7.644,90669
1006,8.124,2352
1006,8.334,62650
1004,8.589,105248
1002,7.7,102966
994,8.0,86248
992,7.681,4658
991,8.617,62914
989,7.75,81354
986,8.327,6040
982,8.5,33217
979,7.895,93740
975,7.6,71738
975,8.568,67075
975,8.174,1778
973,8.453,68267
973,8.511,83097
972,8.083,5178
971,7.661,1215
971,7.863,605
970,7.441,60948
970,8.351,2309
965,8.183,71578
962,7.863,66084
962,8.1,89393
955,7.668,109958
949,8.188,79649
948,8.524,1044
939,7.8,74204
935,8.626,125910
934,8.468,62110
934,7.57,4313
933,8.448,74440
932,7.671,34391
929,8.4,98986
928,7.825,63109
927,8.3,2710
924,8.132,131927
922,6.559,92782
922,8.539,65249
920,7.489,79240
918,8.3,888
917,7.51,73021
917,7.4,50825
915,8.063,92967
915,8.6,12313
914,7.5,39852
914,7.929,91557
913,7.284,81146
911,8.523,1600
908,7.991,1621
907,8.073,89905
904,8.243,18123
903,7.865,1426
902,7.579,63210
901,8.017,2290
898,8.17,93812
897,7.895,1695
895,7.361,43899
889,8.432,61223
889,7.779,3763
886,8.457,80350
883,7.7,4239
880,8.068,897
879,7.7,1404
878,8.363,4500
877,8.0,252
876,8.5,42589
875,7.565,64513
875,7.966,66276
870,8.594,61663
868,7.7,2317
866,7.9,46261
865,7.472,1516
862,8.2,1988
862,7.8,80169
861,7.2,82747
860,8.639,42705
860,7.8,61859
860,8.292,70593
858,8.09,18350
858,7.274,83125
857,7.6,54344
855,8.1,33907
853,6.784,60802
853,8.353,3570
853,6.4,110290
852,7.583,4630
851,7.736,14141
850,7.532,97513
848,7.929,4586
845,7.5,14814
844,7.0,64122
843,8.2,83867
840,7.323,67133
834,8.574,89901
833,7.438,98387
833,8.244,76331
830,8.248,902
828,7.953,2426
825,8.396,95396
821,7.182,67026
818,7.468,67466
816,8.151,72002
816,8.115,1274
814,8.248,63767
814,7.813,7225
813,7.9,1781
812,7.542,607
811,8.51,96316
